Zone,Network_zones,Line,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,Line_Max_Flow_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,Capital_Recovery_Period,Line_Max_Flow_Possible_MW,WACC
SE1,z1,SE1_SE2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300.0,0.022500,10000.000000,56715.000000,30.000000,30.000000,0.050000
SE2,z2,SE2_SE3,2,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9300.0,0.022500,10000.000000,55786.000000,30.000000,30.000000,0.050000
SE3,z3,SE3_SE4,3,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5394.0,0.022500,10000.000000,70643.000000,30.000000,30.000000,0.050000
SE4,z4,SE1_NO4,4,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,600.0,0.022500,0.000000,21475.000000,30.000000,30.000000,0.050000
NO125,z5,SE2_NO4,5,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,250.0,0.022500,0.000000,27208.000000,30.000000,30.000000,0.050000
NO3,z6,NO3_SE2,6,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
NO4,z7,SE3_NO125,7,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2100.0,0.022500,0.000000,27208.000000,30.000000,30.000000,0.050000
FI,z8,NO4_NO3,8,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,2166.0,0.022500,0.000000,55786.000000,30.000000,30.000000,0.050000
DK1,z9,NO3_NO125,9,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,2166.0,0.022500,0.000000,55786.000000,30.000000,30.000000,0.050000
DK2,z10,SE1_FI,10,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,3000.0,0.022500,0.000000,31303.000000,30.000000,30.000000,0.050000
DE,z11,SE3_FI,11,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1200.0,0.011250,0.000000,60788.000000,30.000000,30.000000,0.050000
PL,z12,SE2_FI,12,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.022500,0.000000,59969.000000,30.000000,30.000000,0.050000
BT,z13,SE4_DK2,13,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1300.0,0.011250,0.000000,87996.000000,30.000000,30.000000,0.050000
UK,z14,SE3_DK1,14,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,715.0,0.011250,0.000000,54236.000000,30.000000,30.000000,0.050000
FR,z15,NO125_DK1,15,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1680.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
ES,z16,DK1_DK2,16,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,600.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
NL,z17,SE4_DE,17,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,550.0,0.011300,0.000000,87996.000000,30.000000,30.000000,0.050000
,,DK2_DE,18,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,985.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,DK1_DE,19,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,2500.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,NO125_DE,20,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1400.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,SE4_PL,21,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,600.0,0.011300,0.000000,87996.000000,30.000000,30.000000,0.050000
,,DE_PL,22,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,4500.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,SE4_BT,23,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,630.0,0.011300,0.000000,101919.000000,30.000000,30.000000,0.050000
,,PL_BT,24,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,500.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,FI_BT,25,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1716.0,0.011300,0.000000,50141.000000,30.000000,30.000000,0.050000
,,NL_UK,26,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1000.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,DK1_UK,27,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,1400.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,DE_UK,28,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1400.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,FR_UK,29,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,4000.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,FR_DE,30,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,5000.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,FR_ES,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2600.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,NO125_NL,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,700.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,DK1_NL,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,700.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
,,DE_NL,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,5000.0,0.020000,0.000000,15000.000000,30.000000,30.000000,0.050000
