Region,Resource,Zone,Cluster,AnnualSum
None,nuclear_SE1,1,1,1.887085124683711e9
None,nuclear_SE2,2,1,0.0
None,nuclear_SE3,3,1,1.0108037522481303e9
None,nuclear_SE4,4,1,3.624830541362904e8
None,nuclear_existing_SE3,3,1,3.496351731527873e9
None,thermal_SE1,1,1,2.224017933238938e7
None,thermal_SE2,2,1,1.0228938496168958e8
None,thermal_SE3,3,1,5.878839001429077e8
None,thermal_SE4,4,1,1.514128937266277e8
None,hydro_SE1,1,1,1.3519168001851764e9
None,hydro_SE2,2,1,2.3399279736611004e9
None,hydro_flex_SE1,1,1,3.2304231085741156e8
None,hydro_flex_SE2,2,1,3.159099675999881e8
None,hydro_SE3,3,1,7.293777103464304e8
None,hydro_SE4,4,1,8.950188195221187e7
None,gas_OC_SE1,1,1,0.0
None,gas_OC_SE2,2,1,0.0
None,gas_OC_SE3,3,1,0.0
None,gas_OC_SE4,4,1,0.0
None,biogas_OC_SE1,1,1,0.0
None,biogas_OC_SE2,2,1,0.0
None,biogas_OC_SE3,3,1,0.0
None,biogas_OC_SE4,4,1,0.0
None,biomass_SE1,1,1,0.0
None,biomass_SE2,2,1,0.0
None,biomass_SE3,3,1,0.0
None,biomass_SE4,4,1,0.0
None,wind_offshore_existing_SE1,1,1,0.0
None,wind_offshore_existing_SE2,2,1,0.0
None,wind_offshore_existing_SE3,3,1,0.0
None,wind_offshore_existing_SE4,4,1,0.0
None,wind_offshore_SE1,1,1,0.0
None,wind_offshore_SE2,2,1,0.0
None,wind_offshore_SE3,3,1,0.0
None,wind_offshore_SE4,4,1,1.914836659256014e7
None,wind_onshore_existing_SE1,1,1,0.0
None,wind_onshore_existing_SE2,2,1,0.0
None,wind_onshore_existing_SE3,3,1,0.0
None,wind_onshore_existing_SE4,4,1,0.0
None,wind_onshore_SE1,1,1,1.4569413038053925e9
None,wind_onshore_SE2,2,1,2.13065687223595e9
None,wind_onshore_SE3,3,1,2.0960583053634772e9
None,wind_onshore_SE4,4,1,7.952628687961967e8
None,solar_existing_SE1,1,1,0.0
None,solar_existing_SE2,2,1,0.0
None,solar_existing_SE3,3,1,0.0
None,solar_existing_SE4,4,1,0.0
None,solar_SE1,1,1,3.42600769323887e8
None,solar_SE2,2,1,4.403658649798757e8
None,solar_SE3,3,1,7.450031058522199e8
None,solar_SE4,4,1,0.0
None,battery_storage_SE1,1,1,0.0
None,battery_storage_SE2,2,1,0.0
None,battery_storage_SE3,3,1,0.0
None,battery_storage_SE4,4,1,0.0
None,hydrogen_OC_storage_SE1,1,1,0.0
None,hydrogen_OC_storage_SE2,2,1,0.0
None,hydrogen_OC_storage_SE3,3,1,0.0
None,hydrogen_OC_storage_SE4,4,1,0.0
None,hydrogen_CC_storage_SE1,1,1,0.0
None,hydrogen_CC_storage_SE2,2,1,0.0
None,hydrogen_CC_storage_SE3,3,1,0.0
None,hydrogen_CC_storage_SE4,4,1,0.0
None,hydro_pumped_storage_SE1,1,1,0.0
None,hydro_pumped_storage_SE2,2,1,0.0
None,hydro_pumped_storage_SE3,3,1,0.0
None,hydro_pumped_storage_SE4,4,1,0.0
None,burning_NO125,5,1,1.0220312535650814e8
None,burning_NO3,6,1,2.540128478554516e7
None,burning_NO4,7,1,1.427639431593878e8
None,must_run_NO125,5,1,7.308547406536597e8
None,must_run_NO3,6,1,8.480442411751552e7
None,must_run_NO4,7,1,3.5403776747880206e7
None,hydro_NO125,5,1,5.930150446260314e9
None,hydro_NO3,6,1,1.1021711780462685e9
None,hydro_NO4,7,1,1.765403212107602e9
None,hydro_flex_NO125,5,1,6.81354169043389e8
None,hydro_flex_NO3,6,1,3.432606052100751e8
None,hydro_flex_NO4,7,1,3.383031828421329e8
None,wind_offshore_existing_NO125,5,1,1.0512212814169753e7
None,wind_offshore_existing_NO3,6,1,1.060311057071533e7
None,wind_offshore_NO125,5,1,1.238313959985645e9
None,wind_offshore_NO3,6,1,0.0
None,wind_onshore_existing_NO125,5,1,2.3396347088819917e7
None,wind_onshore_existing_NO3,6,1,0.0
None,wind_onshore_existing_NO4,7,1,3.6377459453777913e6
None,wind_onshore_NO125,5,1,3.748882616226435e8
None,wind_onshore_NO3,6,1,3.366366740074736e8
None,wind_onshore_NO4,7,1,2.0240684211773574e8
None,solar_existing_NO125,5,1,0.0
None,solar_existing_NO3,6,1,0.0
None,solar_existing_NO4,7,1,0.0
None,solar_NO125,5,1,577.7204395043144
None,solar_NO3,6,1,4.475634140090514e6
None,solar_NO4,7,1,0.0
None,nuclear_existing_FI,8,1,2.335740420580266e9
None,nuclear_FI,8,1,2.239938407285614e9
None,thermal_FI,8,1,7.60119485930251e8
None,coal_hard_FI,8,1,0.0
None,gas_FI,8,1,0.0
None,gas_OC_FI,8,1,0.0
None,hydro_FI,8,1,8.870940693434484e8
None,wind_offshore_existing_FI,8,1,0.0
None,wind_offshore_FI,8,1,0.0
None,wind_onshore_existing_FI,8,1,1.017665816143296e8
None,wind_onshore_FI,8,1,2.2899989129044366e9
None,solar_existing_FI,8,1,0.0
None,solar_FI,8,1,3.3924516518876866e7
None,battery_FI,8,1,1.552717668704043e8
None,hydrogen_storage_FI,8,1,0.0
None,must_run_DK1,9,1,2.1885734208857343e8
None,must_run_DK2,10,1,6.859285444485953e8
None,coal_hard_DK1,9,1,0.0
None,gas_DK1,9,1,3.3365516002295744e8
None,gas_DK2,10,1,1.9552592768491715e8
None,gas_CC_CCS_DK1,9,1,0.0
None,gas_CC_CCS_retrofit_DK2,10,1,0.0
None,wind_offshore_existing_DK1,9,1,0.0
None,wind_offshore_existing_DK2,10,1,0.0
None,wind_offshore_DK1,9,1,2.238209632928368e9
None,wind_offshore_DK2,10,1,1.5282349286931405e9
None,wind_onshore_existing_DK1,9,1,0.0
None,wind_onshore_existing_DK2,10,1,0.0
None,wind_onshore_DK1,9,1,1.0340890249681628e9
None,wind_onshore_DK2,10,1,8.994945705541219e7
None,solar_existing_DK1,9,1,0.0
None,solar_existing_DK2,10,1,0.0
None,solar_DK1,9,1,2.0380726020442355e8
None,solar_DK2,10,1,3.6564991103986675e8
None,battery_DK1,9,1,2.3326446545682117e8
None,battery_DK2,10,1,3.092100139300799e8
None,nuclear_existing_DE,11,1,0.0
None,nuclear_DE,11,1,0.0
None,must_run_DE,11,1,7.876364998050931e9
None,coal_lignite_DE,11,1,0.0
None,coal_hard_DE,11,1,0.0
None,coal_hard_CCS_DE,11,1,0.0
None,coal_hard_CCS_retrofit_DE,11,1,0.0
None,coal_lignite_CCS_DE,11,1,0.0
None,biogas_OC_DE,11,1,0.0
None,biomass_DE,11,1,0.0
None,biomass_CCS_DE,11,1,0.0
None,gas_CC_CCS_DE,11,1,1.757032079702413e10
None,gas_CC_CCS_retrofit_DE,11,1,1.5049726806720863e10
None,gas_CC_DE,11,1,0.0
None,gas_CC_existing_DE,11,1,0.0
None,gas_OC_DE,11,1,0.0
None,gas_OC_existing_DE,11,1,0.0
None,wind_offshore_fixed_existing_DE,11,1,19479.516370678255
None,wind_offshore_fixed_DE,11,1,1.5685328570651184e10
None,wind_offshore_floating_DE,11,1,0.0
None,wind_onshore_existing_DE,11,1,10502.567480116983
None,wind_onshore_DE,11,1,2.1850158138025066e10
None,solar_existing_DE,11,1,3495.062966409329
None,solar_DE,11,1,1.0388845971472528e10
None,hydro_pumped_storage_DE,11,1,8.640769456704645e8
None,battery_storage_DE,11,1,4.827000490112547e9
None,hydrogen_OC_storage_DE,11,1,0.0
None,hydrogen_CC_storage_DE,11,1,7.2074470754104e9
None,nuclear_PL,12,1,8.169170173439355e9
None,must_run_PL,12,1,4.0651119301073474e8
None,coal_lignite_PL,12,1,0.0
None,coal_hard_PL,12,1,0.0
None,gas_CC_CCS_PL,12,1,1.2587753184635048e9
None,gas_CC_PL,12,1,1.534284400081342e9
None,gas_OC_PL,12,1,6.520332078025932e7
None,wind_offshore_existing_PL,12,1,0.0
None,wind_offshore_PL,12,1,0.0
None,wind_onshore_existing_PL,12,1,4.945270938430401e7
None,wind_onshore_PL,12,1,3.790270833555651e9
None,solar_existing_PL,12,1,0.0
None,solar_PL,12,1,6.183071862434893e8
None,battery_PL,12,1,7.691075105884682e8
None,nuclear_BT,13,1,6.8479592645122e8
None,nuclear_new_BT,13,1,0.0
None,oilshale_BT,13,1,0.0
None,must_run_BT,13,1,3.2722204242528164e8
None,gas_BT,13,1,0.0
None,wind_offshore_BT,13,1,2.1851436133879863e7
None,wind_offshore_new_BT,13,1,0.0
None,wind_onshore_BT,13,1,6.946448889802786e8
None,wind_onshore_new_BT,13,1,0.0
None,solar_existing_BT,13,1,0.0
None,solar_BT,13,1,1.3872793308467415e8
None,nuclear_UK,14,1,5.848116885276754e9
None,coal_hard_UK,14,1,0.0
None,gas_CC_CCS_UK,14,1,1.6480235881919289e10
None,gas_CC_UK,14,1,25726.18570969403
None,gas_OC_UK,14,1,3.1620533553665465e8
None,wind_offshore_existing_UK,14,1,9.581834967551347e8
None,wind_offshore_UK,14,1,8.364105216390759e9
None,wind_onshore_existing_UK,14,1,1.1142698025720482e8
None,wind_onshore_UK,14,1,5.810139344934818e9
None,solar_existing_UK,14,1,0.0
None,solar_UK,14,1,4.0878274246292953e9
None,hydro_UK,14,1,4.510297493294773e8
None,hydro_pumped_UK,14,1,5.0748952098517793e8
None,battery_UK,14,1,7.08618311197173e8
None,nuclear_FR,15,1,3.7454757363047704e7
None,nuclear_existing_FR,15,1,1.8461485994167896e10
None,coal_hard_FR,15,1,0.0
None,gas_CC_CCS_FR,15,1,1.4840068669084923e9
None,gas_CC_FR,15,1,1.882924370483305e7
None,gas_OC_FR,15,1,1.8402006151575127e9
None,wind_offshore_existing_FR,15,1,1.031574301000434e8
None,wind_offshore_FR,15,1,4.6958557450692425e9
None,wind_onshore_existing_FR,15,1,1.223807667584342e7
None,wind_onshore_FR,15,1,5.458869470385246e9
None,solar_existing_FR,15,1,0.0
None,solar_FR,15,1,2.661393615179971e9
None,hydro_pumped_FR,15,1,7.667864821582859e8
None,battery_FR,15,1,1.4730416185520897e9
None,coal_hard_ES,16,1,0.0
None,gas_CC_CCS_ES,16,1,4.945172473146459e9
None,gas_CC_ES,16,1,7.361848199680784e6
None,gas_OC_ES,16,1,1.642300899467506e8
None,hydro_ES,16,1,1.665444691463669e9
None,wind_offshore_existing_ES,16,1,137699.2684778469
None,wind_offshore_ES,16,1,2.9260360839093393e8
None,wind_onshore_existing_ES,16,1,3.494579761760029e7
None,wind_onshore_ES,16,1,6.876691863650289e9
None,solar_existing_ES,16,1,0.0
None,solar_ES,16,1,2.4544748305466423e9
None,hydro_pumped_ES,16,1,1.5752471321519961e9
None,battery_ES,16,1,1.8820840942528052e9
None,nuclear_NL,17,1,4.5259945593982625e8
None,must_run_NL,17,1,1.148146253615595e9
None,coal_hard_NL,17,1,0.0
None,gas_CC_CCS_NL,17,1,1.1514182248970757e10
None,gas_CC_NL,17,1,34.82438281278378
None,gas_OC_NL,17,1,2.036499719305687e6
None,wind_offshore_existing_NL,17,1,4.0645691461610216e8
None,wind_offshore_NL,17,1,2.561019441040784e9
None,wind_onshore_existing_NL,17,1,2.950984466169256e7
None,wind_onshore_NL,17,1,2.366804707480591e9
None,solar_existing_NL,17,1,0.0
None,solar_NL,17,1,2.8042694792891912e9
None,battery_NL,17,1,1.371799192425208e9
None,nse0_heating_space_load_SE1,1,1,376542.50411708775
None,nse1_heating_space_load_SE1,1,1,48365.816960032935
None,nse2_heating_space_load_SE1,1,1,0.0
None,nse3_heating_space_load_SE1,1,1,0.0
None,nse0_heating_space_load_SE2,2,1,669586.764983912
None,nse1_heating_space_load_SE2,2,1,90874.80819942156
None,nse2_heating_space_load_SE2,2,1,0.0
None,nse3_heating_space_load_SE2,2,1,0.0
None,nse0_heating_space_load_SE3,3,1,4.0462045289346953e6
None,nse1_heating_space_load_SE3,3,1,1.0012487841644029e6
None,nse2_heating_space_load_SE3,3,1,0.0
None,nse3_heating_space_load_SE3,3,1,0.0
None,nse0_heating_space_load_SE4,4,1,1.2539921446347411e6
None,nse1_heating_space_load_SE4,4,1,463626.6596371578
None,nse2_heating_space_load_SE4,4,1,0.0
None,nse3_heating_space_load_SE4,4,1,0.0
None,nse0_heating_sanitary_load_SE1,1,1,39723.121180240894
None,nse1_heating_sanitary_load_SE1,1,1,6186.003899057856
None,nse2_heating_sanitary_load_SE1,1,1,0.0
None,nse3_heating_sanitary_load_SE1,1,1,0.0
None,nse0_heating_sanitary_load_SE2,2,1,81410.01726960264
None,nse1_heating_sanitary_load_SE2,2,1,13893.738701807515
None,nse2_heating_sanitary_load_SE2,2,1,0.0
None,nse3_heating_sanitary_load_SE2,2,1,0.0
None,nse0_heating_sanitary_load_SE3,3,1,581370.9246076896
None,nse1_heating_sanitary_load_SE3,3,1,131565.48979416004
None,nse2_heating_sanitary_load_SE3,3,1,0.0
None,nse3_heating_sanitary_load_SE3,3,1,0.0
None,nse0_heating_sanitary_load_SE4,4,1,214269.05286635106
None,nse1_heating_sanitary_load_SE4,4,1,63832.67013572576
None,nse2_heating_sanitary_load_SE4,4,1,0.0
None,nse3_heating_sanitary_load_SE4,4,1,0.0
None,nse0_EV_load_SE1,1,1,0.0
None,nse1_EV_load_SE1,1,1,0.0
None,nse2_EV_load_SE1,1,1,0.0
None,nse3_EV_load_SE1,1,1,0.0
None,nse0_EV_load_SE2,2,1,0.0
None,nse1_EV_load_SE2,2,1,0.0
None,nse2_EV_load_SE2,2,1,0.0
None,nse3_EV_load_SE2,2,1,0.0
None,nse0_EV_load_SE3,3,1,0.0
None,nse1_EV_load_SE3,3,1,0.0
None,nse2_EV_load_SE3,3,1,0.0
None,nse3_EV_load_SE3,3,1,0.0
None,nse0_EV_load_SE4,4,1,0.0
None,nse1_EV_load_SE4,4,1,0.0
None,nse2_EV_load_SE4,4,1,0.0
None,nse3_EV_load_SE4,4,1,0.0
None,nse0_residential_tertiary_load_SE1,1,1,340436.8845236796
None,nse1_residential_tertiary_load_SE1,1,1,41746.35646796812
None,nse2_residential_tertiary_load_SE1,1,1,0.0
None,nse3_residential_tertiary_load_SE1,1,1,0.0
None,nse0_residential_tertiary_load_SE2,2,1,489278.7667686562
None,nse1_residential_tertiary_load_SE2,2,1,69976.1246890943
None,nse2_residential_tertiary_load_SE2,2,1,0.0
None,nse3_residential_tertiary_load_SE2,2,1,0.0
None,nse0_residential_tertiary_load_SE3,3,1,7.183985724559261e6
None,nse1_residential_tertiary_load_SE3,3,1,1.5365051897747444e6
None,nse2_residential_tertiary_load_SE3,3,1,0.0
None,nse3_residential_tertiary_load_SE3,3,1,0.0
None,nse0_residential_tertiary_load_SE4,4,1,2.1406064851371255e6
None,nse1_residential_tertiary_load_SE4,4,1,601081.265772302
None,nse2_residential_tertiary_load_SE4,4,1,0.0
None,nse3_residential_tertiary_load_SE4,4,1,0.0
None,nse0_electrolyser_load_SE1,1,1,2.0168341363417453e6
None,nse1_electrolyser_load_SE1,1,1,2.0010764588173586e6
None,nse2_electrolyser_load_SE1,1,1,1.9628188989068551e6
None,nse3_electrolyser_load_SE1,1,1,1.8218283525776018e6
None,nse0_electrolyser_load_SE2,2,1,72688.99848748937
None,nse1_electrolyser_load_SE2,2,1,72688.99848748937
None,nse2_electrolyser_load_SE2,2,1,69333.99212755574
None,nse3_electrolyser_load_SE2,2,1,66995.64843334447
None,nse0_electrolyser_load_SE3,3,1,267956.84648027184
None,nse1_electrolyser_load_SE3,3,1,266446.8371626206
None,nse2_electrolyser_load_SE3,3,1,261075.55457861727
None,nse3_electrolyser_load_SE3,3,1,241516.21530187578
None,nse0_electrolyser_load_SE4,4,1,24652.548837115497
None,nse1_electrolyser_load_SE4,4,1,24304.488513031236
None,nse2_electrolyser_load_SE4,4,1,24112.59618189971
None,nse3_electrolyser_load_SE4,4,1,22320.945014799137
None,nse0_industry_load_SE1,1,1,1.920370287274719e7
None,nse1_industry_load_SE1,1,1,2.4109692985575036e6
None,nse2_industry_load_SE1,1,1,0.0
None,nse3_industry_load_SE1,1,1,0.0
None,nse0_industry_load_SE2,2,1,1.102043612359722e7
None,nse1_industry_load_SE2,2,1,1.5445077399765495e6
None,nse2_industry_load_SE2,2,1,0.0
None,nse3_industry_load_SE2,2,1,0.0
None,nse0_industry_load_SE3,3,1,2.911446796739256e7
None,nse1_industry_load_SE3,3,1,6.1795435067998115e6
None,nse2_industry_load_SE3,3,1,0.0
None,nse3_industry_load_SE3,3,1,0.0
None,nse0_industry_load_SE4,4,1,6.724125663464022e6
None,nse1_industry_load_SE4,4,1,1.9425706118759024e6
None,nse2_industry_load_SE4,4,1,0.0
None,nse3_industry_load_SE4,4,1,0.0
None,nse0_losses_load_SE1,1,1,0.0
None,nse1_losses_load_SE1,1,1,0.0
None,nse2_losses_load_SE1,1,1,0.0
None,nse3_losses_load_SE1,1,1,0.0
None,nse0_losses_load_SE2,2,1,0.0
None,nse1_losses_load_SE2,2,1,0.0
None,nse2_losses_load_SE2,2,1,0.0
None,nse3_losses_load_SE2,2,1,0.0
None,nse0_losses_load_SE3,3,1,0.0
None,nse1_losses_load_SE3,3,1,0.0
None,nse2_losses_load_SE3,3,1,0.0
None,nse3_losses_load_SE3,3,1,0.0
None,nse0_losses_load_SE4,4,1,0.0
None,nse1_losses_load_SE4,4,1,0.0
None,nse2_losses_load_SE4,4,1,0.0
None,nse3_losses_load_SE4,4,1,0.0
None,nse0_baseload_NO125,5,1,7.920246421864957e6
None,nse1_baseload_NO125,5,1,0.0
None,nse2_baseload_NO125,5,1,0.0
None,nse3_baseload_NO125,5,1,0.0
None,nse0_baseload_NO3,6,1,994150.355351761
None,nse1_baseload_NO3,6,1,0.0
None,nse2_baseload_NO3,6,1,0.0
None,nse3_baseload_NO3,6,1,0.0
None,nse0_baseload_NO4,7,1,952842.3071538892
None,nse1_baseload_NO4,7,1,0.0
None,nse2_baseload_NO4,7,1,0.0
None,nse3_baseload_NO4,7,1,0.0
None,nse0_baseload_FI,8,1,3.389941748107936e6
None,nse1_baseload_FI,8,1,0.0
None,nse2_baseload_FI,8,1,0.0
None,nse3_baseload_FI,8,1,0.0
None,nse0_baseload_DK1,9,1,4.866561309143406e7
None,nse1_baseload_DK1,9,1,0.0
None,nse2_baseload_DK1,9,1,0.0
None,nse3_baseload_DK1,9,1,0.0
None,nse0_baseload_DK2,10,1,7.308469355449504e7
None,nse1_baseload_DK2,10,1,3.566581712128439e7
None,nse2_baseload_DK2,10,1,2.9059582071763184e7
None,nse3_baseload_DK2,10,1,1.82947929159971e7
None,nse0_heating_space_load_DE,11,1,2.1277082237733594e8
None,nse1_heating_space_load_DE,11,1,1.7108487079742655e8
None,nse2_heating_space_load_DE,11,1,0.0
None,nse3_heating_space_load_DE,11,1,0.0
None,nse0_heating_sanitary_load_DE,11,1,3.576623345050874e7
None,nse1_heating_sanitary_load_DE,11,1,2.7542764324977245e7
None,nse2_heating_sanitary_load_DE,11,1,0.0
None,nse3_heating_sanitary_load_DE,11,1,0.0
None,nse0_EV_load_DE,11,1,0.0
None,nse1_EV_load_DE,11,1,0.0
None,nse2_EV_load_DE,11,1,0.0
None,nse3_EV_load_DE,11,1,0.0
None,nse0_residential_tertiary_load_DE,11,1,4.550442825269315e8
None,nse1_residential_tertiary_load_DE,11,1,3.534821318322838e8
None,nse2_residential_tertiary_load_DE,11,1,0.0
None,nse3_residential_tertiary_load_DE,11,1,0.0
None,nse0_electrolyser_load_DE,11,1,2.7321341251668587e7
None,nse1_electrolyser_load_DE,11,1,2.717418676743626e7
None,nse2_electrolyser_load_DE,11,1,2.678479656352169e7
None,nse3_electrolyser_load_DE,11,1,2.6048969058951914e7
None,nse0_industry_load_DE,11,1,8.140607294162884e8
None,nse1_industry_load_DE,11,1,6.267010251655754e8
None,nse2_industry_load_DE,11,1,0.0
None,nse3_industry_load_DE,11,1,0.0
None,nse0_losses_load_DE,11,1,0.0
None,nse1_losses_load_DE,11,1,0.0
None,nse2_losses_load_DE,11,1,0.0
None,nse3_losses_load_DE,11,1,0.0
None,nse0_baseload_PL,12,1,2.0222200439413825e8
None,nse1_baseload_PL,12,1,4.8982650616893366e7
None,nse2_baseload_PL,12,1,1.4614728746528352e7
None,nse3_baseload_PL,12,1,0.0
None,nse0_baseload_BT,13,1,7.911247247418587e6
None,nse1_baseload_BT,13,1,3.2155670628282465e6
None,nse2_baseload_BT,13,1,545050.449161355
None,nse3_baseload_BT,13,1,0.0
None,nse0_baseload_UK,14,1,8.155903993446486e7
None,nse1_baseload_UK,14,1,0.0
None,nse2_baseload_UK,14,1,0.0
None,nse3_baseload_UK,14,1,0.0
None,nse0_baseload_FR,15,1,9.518534515354769e7
None,nse1_baseload_FR,15,1,0.0
None,nse2_baseload_FR,15,1,0.0
None,nse3_baseload_FR,15,1,0.0
None,nse0_baseload_ES,16,1,1.4700033812148383e7
None,nse1_baseload_ES,16,1,0.0
None,nse2_baseload_ES,16,1,0.0
None,nse3_baseload_ES,16,1,0.0
None,nse0_baseload_NL,17,1,2.2490599174828717e8
None,nse1_baseload_NL,17,1,0.0
None,nse2_baseload_NL,17,1,0.0
None,nse3_baseload_NL,17,1,0.0
None,heating_space_flexload_SE1,1,1,1.4756323808114698e7
None,heating_space_flexload_SE2,2,1,2.6492192667621654e7
None,heating_space_flexload_SE3,3,1,1.3961675364841688e8
None,heating_space_flexload_SE4,4,1,4.0832992629834674e7
None,heating_sanitary_flexload_SE1,1,1,1.0980681330406796e7
None,heating_sanitary_flexload_SE2,2,1,2.2933417126221057e7
None,heating_sanitary_flexload_SE3,3,1,1.4859834641885433e8
None,heating_sanitary_flexload_SE4,4,1,5.014065917393824e7
None,EV_flexload_SE1,1,1,0.0
None,EV_flexload_SE2,2,1,0.0
None,EV_flexload_SE3,3,1,0.0
None,EV_flexload_SE4,4,1,0.0
None,residential_tertiary_flexload_SE1,1,1,0.0
None,residential_tertiary_flexload_SE2,2,1,0.0
None,residential_tertiary_flexload_SE3,3,1,0.0
None,residential_tertiary_flexload_SE4,4,1,0.0
None,industry_flexload_SE1,1,1,4.6626036824023515e7
None,industry_flexload_SE2,2,1,2.744546349377011e7
None,industry_flexload_SE3,3,1,6.536096652652477e7
None,industry_flexload_SE4,4,1,1.4114800076786688e7
None,electrolyser_flexload_SE1,1,1,1.043933748210537e9
None,electrolyser_flexload_SE2,2,1,3.635203833680442e7
None,electrolyser_flexload_SE3,3,1,1.2767133309902653e8
None,electrolyser_flexload_SE4,4,1,1.0978791653892623e7
None,losses_flexload_SE1,1,1,0.0
None,losses_flexload_SE2,2,1,0.0
None,losses_flexload_SE3,3,1,0.0
None,losses_flexload_SE4,4,1,0.0
None,flexload_NO125,5,1,0.0
None,flexload_NO3,6,1,0.0
None,flexload_NO4,7,1,0.0
None,EV_flexload_NO125,5,1,0.0
None,EV_flexload_NO3,6,1,0.0
None,EV_flexload_NO4,7,1,0.0
None,flexload_FI,8,1,0.0
None,electrolyser_flexload_FI,8,1,4.285619318645801e8
None,EV_flexload_FI,8,1,2.711408936402332e8
None,industry_flexload_FI,8,1,4.556907755592656e8
None,flexload_DK1,9,1,0.0
None,flexload_DK2,10,1,0.0
None,EV_flexload_DK1,9,1,0.0
None,EV_flexload_DK2,10,1,0.0
None,heating_space_flexload_DE,11,1,1.988705282540398e9
None,heating_sanitary_flexload_DE,11,1,2.184453228101594e9
None,EV_flexload_DE,11,1,0.0
None,residential_tertiary_flexload_DE,11,1,0.0
None,industry_flexload_DE,11,1,4.480386323413909e8
None,electrolyser_flexload_DE,11,1,5.257390159252161e9
None,losses_flexload_DE,11,1,0.0
None,EV_flexload_PL,12,1,0.0
None,flexload_PL,12,1,0.0
None,flexload_BT,13,1,0.0
None,EV_flexload_BT,13,1,0.0
None,flexload_UK,14,1,0.0
None,EV_flexload_UK,14,1,3.032510888396017e9
None,electrolyser_flexload_UK,14,1,2.4250268298142214e9
None,flexload_FR,15,1,0.0
None,EV_flexload_FR,15,1,2.236040608395504e9
None,electrolyser_flexload_FR,15,1,1.4632766183796198e9
None,flexload_ES,16,1,0.0
None,EV_flexload_ES,16,1,6.9694460416395e8
None,electrolyser_flexload_ES,16,1,1.7057645889500263e9
None,flexload_NL,17,1,0.0
None,EV_flexload_NL,17,1,9.847089845996091e8
None,electrolyser_flexload_NL,17,1,3.328171227473698e9
